"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"88";"26";"ksvm";"0.859176770899809";"0.8374";"94.0611877624475";"12501";"17501";"5000";"OPTICS";"151";"";"0.0232480668106031"
"89";"27";"ksvm";"0.871647226733599";"0.848076923076923";"94.0611877624475";"13001";"18001";"5000";"OPTICS";"149";"";"0.0236464891374063"
"90";"28";"ksvm";"0.591100137804318";"0.585357142857143";"93.1013797240552";"13501";"18501";"5000";"OPTICS";"132";"";"0.0234072748301648"
"91";"29";"ksvm";"0.609528356942013";"0.60155737704918";"92.9214157168566";"14001";"19001";"5000";"OPTICS";"137";"";"0.0240846432014808"
"92";"30";"ksvm";"0.550380021715527";"0.546439393939394";"92.1415716856629";"14501";"19501";"5000";"OPTICS";"152";"";"0.0247520500633292"
"93";"31";"ksvm";"0.644728369539431";"0.634912280701754";"93.1613677264547";"15001";"20001";"5000";"OPTICS";"159";"";"0.0242520057678128"
"94";"32";"ksvm";"0.597900979378906";"0.591730769230769";"93.8212357528494";"15501";"20501";"5000";"OPTICS";"161";"";"0.0237722741861572"
"95";"33";"ksvm";"0.48481974634245";"0.48529702970297";"93.9412117576485";"16001";"21001";"5000";"OPTICS";"166";"";"0.0238234398935244"
"96";"34";"ksvm";"0.804365028717294";"0.785900000000001";"93.9412117576485";"16501";"21501";"5000";"OPTICS";"158";"";"0.0237259437388668"
"97";"35";"ksvm";"0.693177490314531";"0.68159793814433";"94.1811637672465";"17001";"22001";"5000";"OPTICS";"172";"";"0.0228334281453406"
"98";"36";"ksvm";"0.738849189668862";"0.727098765432099";"95.4409118176365";"17501";"22501";"5000";"OPTICS";"171";"";"0.0215308417497593"
"99";"37";"ksvm";"0.788570178230427";"0.771875";"94.4811037792442";"18001";"23001";"5000";"OPTICS";"193";"";"0.020277089534512"
"100";"38";"ksvm";"0.845004125468342";"0.825851063829788";"94.7210557888422";"18501";"23501";"5000";"OPTICS";"187";"";"0.0171083709552785"
"101";"39";"ksvm";"0.865815839694656";"0.836679389312976";"92.50149970006";"19001";"24001";"5000";"OPTICS";"141";"";"0.0126999270400441"
"102";"40";"ksvm";"0.572238721091874";"0.566626016260163";"92.5614877024595";"19501";"24501";"5000";"OPTICS";"140";"";"0.013619452093465"
"103";"41";"ksvm";"0.894384566169595";"0.869807692307692";"94.0611877624475";"20001";"25001";"5000";"OPTICS";"151";"";"0.0168203775464071"
"104";"42";"ksvm";"0.945096781391198";"0.920604395604396";"94.8410317936413";"20501";"25501";"5000";"OPTICS";"164";"";"0.0203572021178496"
"105";"43";"ksvm";"0.936345198604355";"0.917328767123288";"95.6808638272345";"21001";"26001";"5000";"OPTICS";"173";"";"0.0210322817348433"
"106";"44";"ksvm";"0.903506574827802";"0.886428571428571";"95.7408518296341";"21501";"26501";"5000";"OPTICS";"173";"";"0.0216836912644799"
"107";"45";"ksvm";"0.806426276960006";"0.793732394366198";"95.7408518296341";"22001";"27001";"5000";"OPTICS";"172";"";"0.0219959247043463"
"108";"46";"ksvm";"0.38920418053366";"0.396454545454546";"93.2213557288542";"22501";"27501";"5000";"OPTICS";"175";"";"0.0226713554031303"
"109";"47";"ksvm";"0.705752737984938";"0.692314814814814";"93.5212957408518";"23001";"28001";"5000";"OPTICS";"177";"";"0.0221410357186101"
"110";"48";"ksvm";"0.800852928761205";"0.782184466019417";"93.8212357528494";"23501";"28501";"5000";"OPTICS";"157";"";"0.0231093032302566"
"111";"49";"ksvm";"0.895736216943075";"0.868304347826087";"93.4613077384523";"24001";"29001";"5000";"OPTICS";"146";"";"0.0232847663319427"
"112";"50";"ksvm";"0.801046605241972";"0.788714285714286";"95.8608278344331";"24501";"29501";"5000";"OPTICS";"140";"";"0.0240541984812322"
"113";"51";"ksvm";"0.775291038714917";"0.761190476190477";"94.7810437912417";"25001";"30001";"5000";"OPTICS";"142";"";"0.0240847988513772"
"114";"52";"ksvm";"0.769457169448708";"0.752169811320755";"93.6412717456509";"25501";"30501";"5000";"OPTICS";"148";"";"0.0240310781516191"
"115";"53";"ksvm";"0.801450000676306";"0.784574468085106";"94.3611277744451";"26001";"31001";"5000";"OPTICS";"139";"";"0.0249809384417613"
"116";"54";"ksvm";"0.399666295884316";"0.412511520737327";"86.9226154769046";"26501";"31501";"5000";"OPTICS";"139";"";"0.0251738349700704"
"117";"55";"ksvm";"0.415905354919054";"0.430547945205479";"82.4235152969406";"27001";"32001";"5000";"OPTICS";"138";"";"0.0250974646621653"
"118";"56";"ksvm";"0.636813256664515";"0.612224080267558";"82.0635872825435";"27501";"32501";"5000";"OPTICS";"145";"";"0.0250702257656357"
"119";"57";"ksvm";"0.649947058434253";"0.631086956521739";"87.5824835032993";"28001";"33001";"5000";"OPTICS";"129";"";"0.0252189705501127"
"120";"58";"ksvm";"0.620849193001092";"0.603565400843882";"84.8830233953209";"28501";"33501";"5000";"OPTICS";"142";"";"0.0249553521069136"
"121";"59";"ksvm";"0.474399758459391";"0.479653179190751";"79.7240551889622";"29001";"34001";"5000";"OPTICS";"141";"";"0.0247646710275983"
"122";"60";"ksvm";"0.589023002610384";"0.571083086053413";"79.7840431913617";"29501";"34501";"5000";"OPTICS";"137";"";"0.0253277136471642"
"123";"61";"ksvm";"0.867700010854125";"0.798610223642172";"81.0437912417516";"30001";"35001";"5000";"OPTICS";"146";"";"0.0245201133981219"
