"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"83";"21";"ksvm";"0.581165248293276";"0.578918918918919";"97.4358974358974";"10001";"15001";"5000";"yes";"3";"0.217066034984172";"22.1955608878224"
"84";"22";"ksvm";"0.719401168451801";"0.712500000000001";"96.8563344860107";"10501";"15501";"5000";"yes";"2";"0.19268631993809";"9.17816436712657"
"85";"23";"ksvm";"0.704725890356142";"0.698529411764706";"97.2231404958678";"11001";"16001";"5000";"yes";"3";"0.177185497045525";"18.5362927414517"
"86";"24";"ksvm";"0.744392343493019";"0.736829268292683";"97.1428571428571";"11501";"16501";"5000";"yes";"5";"0.0833412656015058";"27.8344331133773"
"87";"25";"ksvm";"0.711849026342308";"0.706449275362319";"97.5497159090909";"12001";"17001";"5000";"yes";"2";"0.0703902473710246";"31.0337932413517"
"88";"26";"ksvm";"0.720234613837073";"0.713045977011495";"96.8859342197341";"12501";"17501";"5000";"yes";"2";"0.056244860762904";"28.5542891421716"
"89";"27";"ksvm";"0.47975002331872";"0.431619718309859";"96.8321917808219";"13001";"18001";"5000";"yes";"5";"-0.053103101823593";"59.8280343931214"
"90";"28";"ksvm";"0.511646454079326";"0.501825396825397";"97.5009916699722";"13501";"18501";"5000";"yes";"2";"0.0305435194380884";"48.7702459508098"
"91";"29";"ksvm";"0.758354536941573";"0.751233766233767";"97.2724052426497";"14001";"19001";"5000";"yes";"3";"0.0650578445951276";"30.6338732253549"
"92";"30";"ksvm";"0.920962986792644";"0.910064935064936";"96.9907407407407";"14501";"19501";"5000";"yes";"2";"0.142429356343479";"18.5762847430514"
"93";"31";"ksvm";"0.496868741587051";"0.496923076923077";"97.5640224859463";"15001";"20001";"5000";"yes";"2";"0.16996713935904";"7.91841631673665"
"94";"32";"ksvm";"0.809870159591777";"0.800376344086021";"97";"15501";"20501";"5000";"yes";"4";"0.169634355597411";"14.0171965606879"
"95";"33";"ksvm";"0.763709665161947";"0.755549450549451";"97.049949715052";"16001";"21001";"5000";"yes";"3";"0.227594563843196";"21.0157968406319"
"96";"34";"ksvm";"0.580847399461081";"0.578269230769231";"96.6773162939297";"16501";"21501";"5000";"yes";"2";"0.282434307243856";"12.2375524895021"
"97";"35";"ksvm";"0.591741428044734";"0.589466019417476";"96.7650753768844";"17001";"22001";"5000";"yes";"2";"0.327429476326917";"8.97820435912817"
"98";"36";"ksvm";"0.616033464114141";"0.612070707070707";"96.8799243618027";"17501";"22501";"5000";"yes";"2";"0.359262905059616";"9.65806838632274"
"99";"37";"ksvm";"0.749406763127209";"0.742283950617284";"97.0735189150607";"18001";"23001";"5000";"yes";"3";"0.0807880367686648";"31.9136172765447"
"100";"38";"ksvm";"0.796011589360758";"0.788333333333333";"97.2231404958678";"18501";"23501";"5000";"yes";"2";"0.174521798224959";"18.496300739852"
"101";"39";"ksvm";"0.672794448950167";"0.667469135802469";"96.5722801788376";"19001";"24001";"5000";"yes";"3";"0.0790821829719687";"38.9522095580884"
"102";"40";"ksvm";"0.86453388372893";"0.855493827160495";"97.6140138930837";"19501";"24501";"5000";"yes";"2";"0.529842838444071";"1.33973205358928"
"103";"41";"ksvm";"0.897553797347399";"0.88783950617284";"97.6442162488674";"20001";"25001";"5000";"yes";"2";"0.518286794400057";"1.33973205358928"
"104";"42";"ksvm";"0.902155716087605";"0.892283950617285";"97.6140138930837";"20501";"25501";"5000";"yes";"2";"0.503171427573857";"1.33973205358928"
"105";"43";"ksvm";"0.890165500898215";"0.880925925925925";"97.4630021141649";"21001";"26001";"5000";"yes";"2";"0.493332226108665";"1.33973205358928"
"106";"44";"ksvm";"0.872428978238373";"0.862926829268293";"97.4932044699487";"21501";"26501";"5000";"yes";"2";"0.479191384348971";"1.33973205358928"
"107";"45";"ksvm";"0.899188839166985";"0.886203703703703";"96.8589549984899";"22001";"27001";"5000";"yes";"2";"0.464641646486098";"1.33973205358928"
"108";"46";"ksvm";"0.882407211089399";"0.869311926605506";"96.9495620658411";"22501";"27501";"5000";"yes";"2";"0.446081672261643";"1.33973205358928"
"109";"47";"ksvm";"0.923179833826222";"0.910454545454547";"97.0506912442396";"23001";"28001";"5000";"yes";"3";"0.242968718160042";"4.69906018796241"
